formName,varName,varDescription,answerCode,answerDescription,answerType
FULLSURVEY,OCULAR,Does the patient have a history of any autoimmune ocular involvement?,99, Unsure  ,radio
FULLSURVEY,OCULARDX___1,What is the ocular diagnosis? (Check all that apply) ,1, Uveitis ,checkbox
FULLSURVEY,OCULARDX___ 5,What is the ocular diagnosis? (Check all that apply) ,1, Scleritis ,checkbox
FULLSURVEY,OCULARDX___ 6,What is the ocular diagnosis? (Check all that apply) ,1, Retinal vasculitis ,checkbox
FULLSURVEY,OCULARDX___ 98,What is the ocular diagnosis? (Check all that apply) ,1, Other ,checkbox
FULLSURVEY,OCULARDX___ 99,What is the ocular diagnosis? (Check all that apply) ,1, Unsure  ,checkbox
FULLSURVEY,UVETYP___1,Specify uveitis subcategory: (Check all that apply) ,1, Anterior ,checkbox
FULLSURVEY,UVETYP___ 2,Specify uveitis subcategory: (Check all that apply) ,1, Intermediate ,checkbox
FULLSURVEY,UVETYP___ 3,Specify uveitis subcategory: (Check all that apply) ,1, Posterior ,checkbox
FULLSURVEY,UVETYP___ 4,Specify uveitis subcategory: (Check all that apply) ,1, Panuveitis ,checkbox
FULLSURVEY,UVETYP___ 99,Specify uveitis subcategory: (Check all that apply) ,1, Unknown  ,checkbox
FULLSURVEY,OCULARDX_SPY,Specify other ocular disease,,[Specify other ocular disease],text
FULLSURVEY,ABDCAT,Specify autoimmune brain disease type,1, Autoimmune encephalitis (antibody positive,radio
FULLSURVEY,ABDCAT,Specify autoimmune brain disease type,2, Demyelinating disease (NMO,radio
FULLSURVEY,ABDCAT,Specify autoimmune brain disease type,3, CNS vasculitis ,radio
FULLSURVEY,ABDCAT,Specify autoimmune brain disease type,98, Other ,radio
FULLSURVEY,ABDCAT,Specify autoimmune brain disease type,99, Unsure  ,radio
FULLSURVEY,ABDCAT_OTH,Specify other autoimmune brain disease type,,[Specify other autoimmune brain disease type],text
FULLSURVEY,SECONDARYRHEUMAUTO,,AUTHEPAT, Auto-immune hepatitis ,select
FULLSURVEY,SECONDARYRHEUMAUTO,, AUTOITHY, Auto-immune thyroid disease ,select
FULLSURVEY,SECONDARYRHEUMAUTO,, CELIACDS, Celiac disease ,select
FULLSURVEY,SECONDARYRHEUMAUTO,, DEMYEDIS, Demyelinating disease ,select
FULLSURVEY,SECONDARYRHEUMAUTO,, DIATYPE1, Diabetes - Type 1 ,select
FULLSURVEY,SECONDARYRHEUMAUTO,, INFLBOWL, Inflammatory bowel disease ,select
FULLSURVEY,SECONDARYRHEUMAUTO,, OROMAS, Macrophage activation syndrome (MAS) ,select
FULLSURVEY,SECONDARYRHEUMAUTO,, NMO, Neuromyelitis Optica (NMO) ,select
FULLSURVEY,SECONDARYRHEUMAUTO,, PSORIA, Psoriasis ,select
FULLSURVEY,SECONDARYRHEUMAUTO,, OTAUTDIS, Other rheumatic/autoimmune disease  ,select
FULLSURVEY,OTH2NDDISE_SPY,Specify: other secondary rheumatic/autoimmune diagnosis,,[Specify: other secondary rheumatic/autoimmune diagnosis],text
FULLSURVEY,COMRBID___0,Non-autoimmune comorbidities (Check all that apply),1, None ,checkbox
FULLSURVEY,COMRBID___ 19,Non-autoimmune comorbidities (Check all that apply),1, Acquired Immunodeficiency,checkbox
FULLSURVEY,COMRBID___ 1,Non-autoimmune comorbidities (Check all that apply),1, Interstitial lung disease (e.g. NSIP,checkbox
FULLSURVEY,COMRBID___ 2,Non-autoimmune comorbidities (Check all that apply),1, Obstructive lung disease (asthma,checkbox
FULLSURVEY,COMRBID___ 3,Non-autoimmune comorbidities (Check all that apply),1, Other lung disease ,checkbox
FULLSURVEY,COMRBID___ 4,Non-autoimmune comorbidities (Check all that apply),1, Diabetes Type 1 ,checkbox
FULLSURVEY,COMRBID___ 20,Non-autoimmune comorbidities (Check all that apply),1, Diabetes,checkbox
FULLSURVEY,COMRBID___ 22,Non-autoimmune comorbidities (Check all that apply),1, Obesity (BMI >=30) ,checkbox
FULLSURVEY,COMRBID___ 5,Non-autoimmune comorbidities (Check all that apply),1, Morbid obesity (BMI >=40) ,checkbox
FULLSURVEY,COMRBID___ 6,Non-autoimmune comorbidities (Check all that apply),1, Hypertension ,checkbox
FULLSURVEY,COMRBID___ 7,Non-autoimmune comorbidities (Check all that apply),1, Cardiovascular disease,checkbox
FULLSURVEY,COMRBID___ 8,Non-autoimmune comorbidities (Check all that apply),1, Pulmonary hypertension ,checkbox
FULLSURVEY,COMRBID___ 9,Non-autoimmune comorbidities (Check all that apply),1, Chronic renal insufficiency or end stage renal disease ,checkbox
FULLSURVEY,COMRBID___ 10,Non-autoimmune comorbidities (Check all that apply),1, Cancer ,checkbox
FULLSURVEY,COMRBID___ 11,Non-autoimmune comorbidities (Check all that apply),1, Organ transplant recipient ,checkbox
FULLSURVEY,COMRBID___ 12,Non-autoimmune comorbidities (Check all that apply),1, Immunodeficiency ,checkbox
FULLSURVEY,COMRBID___ 13,Non-autoimmune comorbidities (Check all that apply),1, Inflammatory Bowel Disease,checkbox
FULLSURVEY,COMRBID___ 14,Non-autoimmune comorbidities (Check all that apply),1, Liver disease ,checkbox
FULLSURVEY,COMRBID___ 15,Non-autoimmune comorbidities (Check all that apply),1, Chronic neurological or neuromuscular disease ,checkbox
FULLSURVEY,COMRBID___ 16,Non-autoimmune comorbidities (Check all that apply),1, Trisomy 21 ,checkbox
FULLSURVEY,COMRBID___ 17,Non-autoimmune comorbidities (Check all that apply),1, Psychiatric condition (e.g.,checkbox
FULLSURVEY,COMRBID___ 95,Non-autoimmune comorbidities (Check all that apply),1, Pregnancy ,checkbox
FULLSURVEY,COMRBID___ 96,Non-autoimmune comorbidities (Check all that apply),1, Post-partum (< 6 weeks) ,checkbox
FULLSURVEY,COMRBID___ 98,Non-autoimmune comorbidities (Check all that apply),1, Other ,checkbox
FULLSURVEY,COMRBID___ 99,Non-autoimmune comorbidities (Check all that apply),1, Unknown  ,checkbox
FULLSURVEY,COMOSPY,Specify other comorbidities,,[Specify other comorbidities],notes
FULLSURVEY,SECURIBD,Have you also reported this case to the SECURE-IBD COVID-19 Registry (https://covidibd.org)?,1, Yes ,radio
FULLSURVEY,SECURIBD,Have you also reported this case to the SECURE-IBD COVID-19 Registry (https://covidibd.org)?,0, No ,radio
FULLSURVEY,SECURIBD,Have you also reported this case to the SECURE-IBD COVID-19 Registry (https://covidibd.org)?,99, Unsure  ,radio
FULLSURVEY,rheum_da,Rheumatologic/autoimmune disease activity disease activity AT TIME OF COVID-19 SYMPTOM ONSET (or at recognized onset of SARS-CoV-2 infection if asymptomatic):,1, Remission ,radio
FULLSURVEY,rheum_da,Rheumatologic/autoimmune disease activity disease activity AT TIME OF COVID-19 SYMPTOM ONSET (or at recognized onset of SARS-CoV-2 infection if asymptomatic):,2, Minimal or low disease activity ,radio
FULLSURVEY,rheum_da,Rheumatologic/autoimmune disease activity disease activity AT TIME OF COVID-19 SYMPTOM ONSET (or at recognized onset of SARS-CoV-2 infection if asymptomatic):,3, Moderate disease activity ,radio
FULLSURVEY,rheum_da,Rheumatologic/autoimmune disease activity disease activity AT TIME OF COVID-19 SYMPTOM ONSET (or at recognized onset of SARS-CoV-2 infection if asymptomatic):,4, Severe or high disease activity ,radio
FULLSURVEY,rheum_da,Rheumatologic/autoimmune disease activity disease activity AT TIME OF COVID-19 SYMPTOM ONSET (or at recognized onset of SARS-CoV-2 infection if asymptomatic):,99, Unknown  ,radio
FULLSURVEY,PHYSCORE,"Please also indicate the most recent Physician Global Disease Activity Score (PGAS) at or within 90 days before COVID-19 symptom onset, if known: Range 0 to 10 (0 = no rheumatic/autoimmune disease activity; 10 = most severe activity)",,"[Please also indicate the most recent Physician Global Disease Activity Score (PGAS) at or within 90 days before COVID-19 symptom onset, if known: Range 0 to 10 (0 = no rheumatic/autoimmune disease activity; 10 = most severe activity)]",text
FULLSURVEY,FLARE,Did the patient experience an exacerbation or other flare of rheumatic/autoimmune disease activity during or after SARS-CoV-2 infection?,0, No rheumatic/autoimmune disease exacerbation ,radio
FULLSURVEY,FLARE,Did the patient experience an exacerbation or other flare of rheumatic/autoimmune disease activity during or after SARS-CoV-2 infection?,1, Minor rheumatic/autoimmune disease exacerbation ,radio
FULLSURVEY,FLARE,Did the patient experience an exacerbation or other flare of rheumatic/autoimmune disease activity during or after SARS-CoV-2 infection?,2, Significant rheumatic/autoimmune disease exacerbation ,radio
FULLSURVEY,FLARE,Did the patient experience an exacerbation or other flare of rheumatic/autoimmune disease activity during or after SARS-CoV-2 infection?,99, Not yet known/Unknown  ,radio
FULLSURVEY,rheum_glucocorticoids,"Was the patient taking
 glucocorticoids of any type (e.g. prednisone, methylprednisolone) or 
route of administration (e.g. oral, IV, intra-ocular, intra-articular), within 30 days prior to COVID-19 SYMPTOM ONSET (or prior to SARS-CoV-2 diagnosis if asymptomatic)?",1, Yes ,radio
FULLSURVEY,rheum_glucocorticoids,"Was the patient taking
 glucocorticoids of any type (e.g. prednisone, methylprednisolone) or 
route of administration (e.g. oral, IV, intra-ocular, intra-articular), within 30 days prior to COVID-19 SYMPTOM ONSET (or prior to SARS-CoV-2 diagnosis if asymptomatic)?",0, No ,radio
FULLSURVEY,rheum_glucocorticoids,"Was the patient taking
 glucocorticoids of any type (e.g. prednisone, methylprednisolone) or 
route of administration (e.g. oral, IV, intra-ocular, intra-articular), within 30 days prior to COVID-19 SYMPTOM ONSET (or prior to SARS-CoV-2 diagnosis if asymptomatic)?",99, Unknown  ,radio
FULLSURVEY,rheum_gluco_dose,What is the dose (prednisone equivalent) of glucorticoid at the time of COVID-19 symptom onset (or at COVID-19 diagnosis if asymptomatic):,,[What is the dose (prednisone equivalent) of glucorticoid at the time of COVID-19 symptom onset (or at COVID-19 diagnosis if asymptomatic):],Number Box (Decimal)
FULLSURVEY,UNIT_STEROID,Units:,1, mg/day ,radio
FULLSURVEY,UNIT_STEROID,Units:,2, mg/kg/day  ,radio
FULLSURVEY,STEROUTE,Route:,1, Oral ,radio
FULLSURVEY,STEROUTE,Route:,2, Intravenous ,radio
FULLSURVEY,STEROUTE,Route:,3, Ocular ,radio
FULLSURVEY,STEROUTE,Route:,4, Intra-articular ,radio
FULLSURVEY,STEROUTE,Route:,5, Topical  ,radio
FULLSURVEY,STEROUTE_ADDL,,5, Topical ,radio
FULLSURVEY,STEROUTE_ADDL,,6, Periocular ,radio
FULLSURVEY,STEROUTE_ADDL,,7, Intraocular  ,radio
FULLSURVEY,rheum_glucocorticoids_stop,Was this glucocorticoid stopped or continued after COVID-19 symptom onset or after SARS-CoV-2 diagnosis (if asymptomatic)?,1, Stopped ,radio
FULLSURVEY,rheum_glucocorticoids_stop,Was this glucocorticoid stopped or continued after COVID-19 symptom onset or after SARS-CoV-2 diagnosis (if asymptomatic)?,2, Continued ,radio
FULLSURVEY,rheum_glucocorticoids_stop,Was this glucocorticoid stopped or continued after COVID-19 symptom onset or after SARS-CoV-2 diagnosis (if asymptomatic)?,3, Unknown  ,radio
FULLSURVEY,USEXG,Was the dosage or frequency of administration changed?,1, Continued unchanged ,radio
FULLSURVEY,USEXG,Was the dosage or frequency of administration changed?,2, Dosage or frequency changed ,radio
FULLSURVEY,USEXG,Was the dosage or frequency of administration changed?,99, Unknown  ,radio
FULLSURVEY,AEACN_STEROD,How was this changed?,2, Dose reduced ,radio
FULLSURVEY,AEACN_STEROD,How was this changed?,3, Dose increased ,radio
FULLSURVEY,AEACN_STEROD,How was this changed?,4, Drug interrupted or delayed ,radio
FULLSURVEY,AEACN_STEROD,How was this changed?,99, Unknown ,radio
FULLSURVEY,AEACN_STEROD,How was this changed?,96, Not applicable  ,radio
FULLSURVEY,,"_________________________________________________
",,"[_________________________________________________
]",Rich Text
FULLSURVEY,RTUXMAB,Did the patient ever receive rituximab?,1, Yes ,radio
FULLSURVEY,RTUXMAB,Did the patient ever receive rituximab?,0, No ,radio
FULLSURVEY,RTUXMAB,Did the patient ever receive rituximab?,99, Unknown  ,radio
FULLSURVEY,rheum_immuno_med,Was the patient on any other immunosuppressive medications within 30 days prior to COVID-19 SYMPTOM ONSET (or prior to SARS-CoV-2 diagnosis if asymptomatic)?,0, None ,select
FULLSURVEY,rheum_immuno_med,Was the patient on any other immunosuppressive medications within 30 days prior to COVID-19 SYMPTOM ONSET (or prior to SARS-CoV-2 diagnosis if asymptomatic)?,2, Abatacept ,select
FULLSURVEY,rheum_immuno_med,Was the patient on any other immunosuppressive medications within 30 days prior to COVID-19 SYMPTOM ONSET (or prior to SARS-CoV-2 diagnosis if asymptomatic)?,3, Antifibrotics (pirfenidone,select
FULLSURVEY,rheum_immuno_med,Was the patient on any other immunosuppressive medications within 30 days prior to COVID-19 SYMPTOM ONSET (or prior to SARS-CoV-2 diagnosis if asymptomatic)?,4, Antimalarials (including hydroxychloroquine,select
FULLSURVEY,rheum_immuno_med,Was the patient on any other immunosuppressive medications within 30 days prior to COVID-19 SYMPTOM ONSET (or prior to SARS-CoV-2 diagnosis if asymptomatic)?,5, Apremilast ,select
FULLSURVEY,rheum_immuno_med,Was the patient on any other immunosuppressive medications within 30 days prior to COVID-19 SYMPTOM ONSET (or prior to SARS-CoV-2 diagnosis if asymptomatic)?,6, Azathioprine / 6-MP ,select
FULLSURVEY,rheum_immuno_med,Was the patient on any other immunosuppressive medications within 30 days prior to COVID-19 SYMPTOM ONSET (or prior to SARS-CoV-2 diagnosis if asymptomatic)?,7, Belimumab ,select
FULLSURVEY,rheum_immuno_med,Was the patient on any other immunosuppressive medications within 30 days prior to COVID-19 SYMPTOM ONSET (or prior to SARS-CoV-2 diagnosis if asymptomatic)?,8, Cyclophosphamide ,select
FULLSURVEY,rheum_immuno_med,Was the patient on any other immunosuppressive medications within 30 days prior to COVID-19 SYMPTOM ONSET (or prior to SARS-CoV-2 diagnosis if asymptomatic)?,26, Colchicine ,select
FULLSURVEY,rheum_immuno_med,Was the patient on any other immunosuppressive medications within 30 days prior to COVID-19 SYMPTOM ONSET (or prior to SARS-CoV-2 diagnosis if asymptomatic)?,9, Cyclosporine ,select
FULLSURVEY,rheum_immuno_med,Was the patient on any other immunosuppressive medications within 30 days prior to COVID-19 SYMPTOM ONSET (or prior to SARS-CoV-2 diagnosis if asymptomatic)?,11, Denosumab ,select
FULLSURVEY,rheum_immuno_med,Was the patient on any other immunosuppressive medications within 30 days prior to COVID-19 SYMPTOM ONSET (or prior to SARS-CoV-2 diagnosis if asymptomatic)?,12, IL-1 inhibitors (including anakinra,select
FULLSURVEY,rheum_immuno_med,Was the patient on any other immunosuppressive medications within 30 days prior to COVID-19 SYMPTOM ONSET (or prior to SARS-CoV-2 diagnosis if asymptomatic)?,13, IL-6 inhibitors (e.g. tocilizumab,select
FULLSURVEY,rheum_immuno_med,Was the patient on any other immunosuppressive medications within 30 days prior to COVID-19 SYMPTOM ONSET (or prior to SARS-CoV-2 diagnosis if asymptomatic)?,14, IL-12/23 inhibitors (including ustekinemab) ,select
FULLSURVEY,rheum_immuno_med,Was the patient on any other immunosuppressive medications within 30 days prior to COVID-19 SYMPTOM ONSET (or prior to SARS-CoV-2 diagnosis if asymptomatic)?,15, IL-17 inhibitors (including secukinumab,select
FULLSURVEY,rheum_immuno_med,Was the patient on any other immunosuppressive medications within 30 days prior to COVID-19 SYMPTOM ONSET (or prior to SARS-CoV-2 diagnosis if asymptomatic)?,30, IL-23 inhibitors (including guselkumab) ,select
FULLSURVEY,rheum_immuno_med,Was the patient on any other immunosuppressive medications within 30 days prior to COVID-19 SYMPTOM ONSET (or prior to SARS-CoV-2 diagnosis if asymptomatic)?,16, IVIG ,select
FULLSURVEY,rheum_immuno_med,Was the patient on any other immunosuppressive medications within 30 days prior to COVID-19 SYMPTOM ONSET (or prior to SARS-CoV-2 diagnosis if asymptomatic)?,17, JAK inhibitors (e.g. tofacitinib,select
FULLSURVEY,rheum_immuno_med,Was the patient on any other immunosuppressive medications within 30 days prior to COVID-19 SYMPTOM ONSET (or prior to SARS-CoV-2 diagnosis if asymptomatic)?,18, Leflunomide ,select
FULLSURVEY,rheum_immuno_med,Was the patient on any other immunosuppressive medications within 30 days prior to COVID-19 SYMPTOM ONSET (or prior to SARS-CoV-2 diagnosis if asymptomatic)?,19, Methotrexate ,select
FULLSURVEY,rheum_immuno_med,Was the patient on any other immunosuppressive medications within 30 days prior to COVID-19 SYMPTOM ONSET (or prior to SARS-CoV-2 diagnosis if asymptomatic)?,20, Mycophenolate mofetil / mycophenolic acid ,select
FULLSURVEY,rheum_immuno_med,Was the patient on any other immunosuppressive medications within 30 days prior to COVID-19 SYMPTOM ONSET (or prior to SARS-CoV-2 diagnosis if asymptomatic)?,21, Sulfasalazine ,select
FULLSURVEY,rheum_immuno_med,Was the patient on any other immunosuppressive medications within 30 days prior to COVID-19 SYMPTOM ONSET (or prior to SARS-CoV-2 diagnosis if asymptomatic)?,22, Tacrolimus ,select
FULLSURVEY,rheum_immuno_med,Was the patient on any other immunosuppressive medications within 30 days prior to COVID-19 SYMPTOM ONSET (or prior to SARS-CoV-2 diagnosis if asymptomatic)?,23, Thalidomide / lenalidomide ,select
FULLSURVEY,rheum_immuno_med,Was the patient on any other immunosuppressive medications within 30 days prior to COVID-19 SYMPTOM ONSET (or prior to SARS-CoV-2 diagnosis if asymptomatic)?,24, TNF-inhibitors (including infliximab,select
FULLSURVEY,rheum_immuno_med,Was the patient on any other immunosuppressive medications within 30 days prior to COVID-19 SYMPTOM ONSET (or prior to SARS-CoV-2 diagnosis if asymptomatic)?,25, Steroid eye drops ,select
FULLSURVEY,rheum_immuno_med,Was the patient on any other immunosuppressive medications within 30 days prior to COVID-19 SYMPTOM ONSET (or prior to SARS-CoV-2 diagnosis if asymptomatic)?,99, Unknown ,select
FULLSURVEY,rheum_immuno_med,Was the patient on any other immunosuppressive medications within 30 days prior to COVID-19 SYMPTOM ONSET (or prior to SARS-CoV-2 diagnosis if asymptomatic)?,98, Other  ,select
FULLSURVEY,rheum_immuno_med_stop,Was this immunosuppressive medication stopped or continued after COVID-19 symptom onset or after SARS-CoV-2 diagnosis (if asymptomatic)?,1, Stopped ,radio
FULLSURVEY,rheum_immuno_med_stop,Was this immunosuppressive medication stopped or continued after COVID-19 symptom onset or after SARS-CoV-2 diagnosis (if asymptomatic)?,2, Continued ,radio
FULLSURVEY,rheum_immuno_med_stop,Was this immunosuppressive medication stopped or continued after COVID-19 symptom onset or after SARS-CoV-2 diagnosis (if asymptomatic)?,3, Unknown  ,radio
FULLSURVEY,IMUSEXG,Was the dosage or frequency of administration changed?,1, Continued unchanged ,radio
FULLSURVEY,IMUSEXG,Was the dosage or frequency of administration changed?,2, Dosage or frequency changed ,radio
FULLSURVEY,IMUSEXG,Was the dosage or frequency of administration changed?,99, Unknown  ,radio
FULLSURVEY,AEACN,How was this changed?,2, Dose reduced ,radio
FULLSURVEY,AEACN,How was this changed?,3, Dose increased ,radio
FULLSURVEY,AEACN,How was this changed?,4, Drug interrupted or delayed ,radio
FULLSURVEY,AEACN,How was this changed?,99, Unknown ,radio
FULLSURVEY,AEACN,How was this changed?,96, Not applicable  ,radio
FULLSURVEY,other_rheummed_stop_1,,1, Yes ,radio
FULLSURVEY,other_rheummed_stop_1,,0, No ,radio
FULLSURVEY,other_rheummed_stop_1,,99, Unsure  ,radio
FULLSURVEY,other_rheummed_stop_2,,1, Yes ,radio
FULLSURVEY,other_rheummed_stop_2,,0, No ,radio
FULLSURVEY,other_rheummed_stop_2,,99, Unsure  ,radio
FULLSURVEY,other_rheummed_stop_3,,1, Yes ,radio
FULLSURVEY,other_rheummed_stop_3,,0, No ,radio
FULLSURVEY,other_rheummed_stop_3,,99, Unsure  ,radio
FULLSURVEY,other_rheummed_stop_4,,1, Yes ,radio
FULLSURVEY,other_rheummed_stop_4,,0, No ,radio
FULLSURVEY,other_rheummed_stop_4,,99, Unsure  ,radio
FULLSURVEY,AEACN_OTH_1,,1, Dose not changed ,radio
FULLSURVEY,AEACN_OTH_1,,2, Dose reduced ,radio
FULLSURVEY,AEACN_OTH_1,,3, Dose increased ,radio
FULLSURVEY,AEACN_OTH_1,,4, Drug interrupted ,radio
FULLSURVEY,AEACN_OTH_1,,5, Drug discontinued ,radio
FULLSURVEY,AEACN_OTH_1,,99, Unknown  ,radio
FULLSURVEY,AEACN_OTH_2,,1, Dose not changed ,radio
FULLSURVEY,AEACN_OTH_2,,2, Dose reduced ,radio
FULLSURVEY,AEACN_OTH_2,,3, Dose increased ,radio
FULLSURVEY,AEACN_OTH_2,,4, Drug interrupted ,radio
FULLSURVEY,AEACN_OTH_2,,5, Drug discontinued ,radio
FULLSURVEY,AEACN_OTH_2,,99, Unknown  ,radio
FULLSURVEY,AEACN_OTH_3,,1, Dose not changed ,radio
FULLSURVEY,AEACN_OTH_3,,2, Dose reduced ,radio
FULLSURVEY,AEACN_OTH_3,,3, Dose increased ,radio
FULLSURVEY,AEACN_OTH_3,,4, Drug interrupted ,radio
FULLSURVEY,AEACN_OTH_3,,5, Drug discontinued ,radio
FULLSURVEY,AEACN_OTH_3,,99, Unknown  ,radio
FULLSURVEY,AEACN_OTH_4,,1, Dose not changed ,radio
FULLSURVEY,AEACN_OTH_4,,2, Dose reduced ,radio
FULLSURVEY,AEACN_OTH_4,,3, Dose increased ,radio
FULLSURVEY,AEACN_OTH_4,,4, Drug interrupted ,radio
FULLSURVEY,AEACN_OTH_4,,5, Drug discontinued ,radio
FULLSURVEY,AEACN_OTH_4,,99, Unknown  ,radio
FULLSURVEY,ZIPCODE_1,Zip code/Postal code of residence:,,[Zip code/Postal code of residence:],text
FULLSURVEY,RESREGON,"What was the patientâ€™s region of residence around the time of presumed novel coronavirus infection. Please DO NOT include details on smaller locales and limit your response to broader regions, e.g. county or state level, in order to protect patient privacy.",,"[What was the patientâ€™s region of residence around the time of presumed novel coronavirus infection. Please DO NOT include details on smaller locales and limit your response to broader regions, e.g. county or state level, in order to protect patient privacy.]",text
FULLSURVEY,dem_race___1,Race/geographic origin,1, Arab ,checkbox
FULLSURVEY,dem_race___ 10,Race/geographic origin,1, Asian ,checkbox
FULLSURVEY,dem_race___ 2,Race/geographic origin,1, Black / African-American ,checkbox
FULLSURVEY,dem_race___ 7,Race/geographic origin,1, Latin American ,checkbox
FULLSURVEY,dem_race___ 9,Race/geographic origin,1, Native American / Aboriginal / 1st Nations ,checkbox
FULLSURVEY,dem_race___ 6,Race/geographic origin,1, Pacific Islander ,checkbox
FULLSURVEY,dem_race___ 8,Race/geographic origin,1, White ,checkbox
FULLSURVEY,dem_race___ 98,Race/geographic origin,1, Other ,checkbox
FULLSURVEY,dem_race___ 99,Race/geographic origin,1, Unknown or prefer not to answer  ,checkbox
FULLSURVEY,dem_race_other,Specify Other,,[Specify Other],text
FULLSURVEY,HISPANIC,Ethnicity,1, Hispanic ,radio
FULLSURVEY,HISPANIC,Ethnicity,0, Not Hispanic ,radio
FULLSURVEY,HISPANIC,Ethnicity,99, Unknown or prefer not to answer  ,radio
FULLSURVEY,SMOKE,"Has the patient ever smoked cigarettes, used e-cigarettes, or vaped (including marijuana)?",1, Yes ,radio
FULLSURVEY,SMOKE,"Has the patient ever smoked cigarettes, used e-cigarettes, or vaped (including marijuana)?",0, No ,radio
FULLSURVEY,SMOKE,"Has the patient ever smoked cigarettes, used e-cigarettes, or vaped (including marijuana)?",99, Unknown  ,radio
FULLSURVEY,CIGARETTES,Cigarettes,1, Current ,radio
FULLSURVEY,CIGARETTES,Cigarettes,2, Prior only ,radio
FULLSURVEY,CIGARETTES,Cigarettes,0, Never ,radio
FULLSURVEY,CIGARETTES,Cigarettes,99, Unsure  ,radio
FULLSURVEY,VAPING,E-cigarettes or vaping,1, Current ,radio
FULLSURVEY,VAPING,E-cigarettes or vaping,2, Prior only ,radio
FULLSURVEY,VAPING,E-cigarettes or vaping,0, Never ,radio
FULLSURVEY,VAPING,E-cigarettes or vaping,99, Unsure  ,radio
FULLSURVEY,INSURANCE___1,Insurance type (check all that apply),1, Private Health Insurance ,checkbox
FULLSURVEY,INSURANCE___ 2,Insurance type (check all that apply),1, Medicare ,checkbox
FULLSURVEY,INSURANCE___ 3,Insurance type (check all that apply),1, Medicaid ,checkbox
FULLSURVEY,INSURANCE___ 4,Insurance type (check all that apply),1, Military Health Care ,checkbox
FULLSURVEY,INSURANCE___ 5,Insurance type (check all that apply),1, State-specific Plan (not traditional Medicaid) ,checkbox
FULLSURVEY,INSURANCE___ 6,Insurance type (check all that apply),1, Indian Health Services ,checkbox
FULLSURVEY,INSURANCE___ 7,Insurance type (check all that apply),1, Non-US Insurance ,checkbox
FULLSURVEY,INSURANCE___ 98,Insurance type (check all that apply),1, Other ,checkbox
FULLSURVEY,INSURANCE___ 0,Insurance type (check all that apply),1, None  ,checkbox
FULLSURVEY,INSURANCE_NONUS___11,Insurance type (check all that apply),1, Public insurance ,checkbox
FULLSURVEY,INSURANCE_NONUS___ 12,Insurance type (check all that apply),1, Private insurance ,checkbox
FULLSURVEY,INSURANCE_NONUS___ 98,Insurance type (check all that apply),1, Other ,checkbox
FULLSURVEY,INSURANCE_NONUS___ 0,Insurance type (check all that apply),1, None  ,checkbox
FULLSURVEY,OTHINSUR_SPY,Specify other insurance,,[Specify other insurance],text
FULLSURVEY,lab_tests,Are there any laboratory test results available related to other infections?,,[Are there any laboratory test results available related to other infections?],yesno
FULLSURVEY,path_flua,Influenza A,1, CONFIRMED Positive ,radio
FULLSURVEY,path_flua,Influenza A,2, PROBABLE Positive ,radio
FULLSURVEY,path_flua,Influenza A,3, Negative ,radio
FULLSURVEY,path_flua,Influenza A,4, Results pending ,radio
FULLSURVEY,path_flua,Influenza A,5, Not done ,radio
FULLSURVEY,path_flua,Influenza A,98, Unsure  ,radio
FULLSURVEY,path_flub,Influenza B,1, CONFIRMED Positive ,radio
FULLSURVEY,path_flub,Influenza B,2, PROBABLE Positive ,radio
FULLSURVEY,path_flub,Influenza B,3, Negative ,radio
FULLSURVEY,path_flub,Influenza B,4, Results pending ,radio
FULLSURVEY,path_flub,Influenza B,5, Not done ,radio
FULLSURVEY,path_flub,Influenza B,98, Unsure  ,radio
FULLSURVEY,path_coronanon19,Other coronavirus (NOT SARS-CoV-2),1, CONFIRMED Positive ,radio
FULLSURVEY,path_coronanon19,Other coronavirus (NOT SARS-CoV-2),2, PROBABLE Positive ,radio
FULLSURVEY,path_coronanon19,Other coronavirus (NOT SARS-CoV-2),3, Negative ,radio
FULLSURVEY,path_coronanon19,Other coronavirus (NOT SARS-CoV-2),4, Results pending ,radio
FULLSURVEY,path_coronanon19,Other coronavirus (NOT SARS-CoV-2),5, Not done ,radio
FULLSURVEY,path_coronanon19,Other coronavirus (NOT SARS-CoV-2),98, Unsure  ,radio
FULLSURVEY,path_rsv,RSV,1, CONFIRMED Positive ,radio
FULLSURVEY,path_rsv,RSV,2, PROBABLE Positive ,radio
FULLSURVEY,path_rsv,RSV,3, Negative ,radio
FULLSURVEY,path_rsv,RSV,4, Results pending ,radio
FULLSURVEY,path_rsv,RSV,5, Not done ,radio
FULLSURVEY,path_rsv,RSV,98, Unsure  ,radio
FULLSURVEY,path_adeno,Adenovirus,1, CONFIRMED Positive ,radio
FULLSURVEY,path_adeno,Adenovirus,2, PROBABLE Positive ,radio
FULLSURVEY,path_adeno,Adenovirus,3, Negative ,radio
FULLSURVEY,path_adeno,Adenovirus,4, Results pending ,radio
FULLSURVEY,path_adeno,Adenovirus,5, Not done ,radio
FULLSURVEY,path_adeno,Adenovirus,98, Unsure  ,radio
FULLSURVEY,path_respother,Other Respiratory Infection (e.g. fungal),1, CONFIRMED Positive ,radio
FULLSURVEY,path_respother,Other Respiratory Infection (e.g. fungal),2, PROBABLE Positive ,radio
FULLSURVEY,path_respother,Other Respiratory Infection (e.g. fungal),3, Negative ,radio
